,客户编号,客户公司名称,客户公司编号,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,第一选择基金,第二选择基金,第三选择基金,第四选择基金
0,C0001,公司20,4040100,9,9,15.44036767,193,0.166081948,1,11,68,20.55929255,39,0.847728938,3,59,18.58011659,18.35865655,95,27.84290021,55,15.61850282,18,11.94262363,,28,63,4.030947163,0,55.25100453,6.67845963,,2,1,71,2.775312448,1,1,3,10,43,56,44.99447821,  ,  ,  ,  
1,C0002,公司3,90601,10,69,24.19789929,86,0.327464351,1,17,111,2.745922088,39,0.439517254,12,7,1.842345043,27.76438573,34,28.41448827,44,67.39361305,16,1.895525417,,27,11,9.420789139,0,49.53894143,18.33779032,11.38498758,2,1,66,17.6949,1,8,3,11,22,74,54.38582584,  ,  ,  ,  
2,C0003,公司18,3272481,3,61,6.773532386,201,0.482634837,1,2,138,33.05612177,55,0.985052892,12,26,15.89070372,15.26907688,36,0.661033773,90,6.19730824,9,2.232488238,,73,62,11.86029798,0,56.04425601,1.516546643,29.58834127,4,1,53,11.05655391,1,5,6,10,44,19,9.35864196,  ,  ,  ,  
3,C0004,公司9,817216,3,9,6.375025793,92,0.545685448,1,3,184,15.83535673,15,0.575799131,9,4,16.52453135,27.71280795,10,32.33593186,71,20.8421444,14,2.220379732,,41,21,15.87649156,0,52.86240661,1.17296478,46.07741164,1,1,14,19.85733948,1,10,5,3,71,82,55.20456675,  ,  ,  ,  
4,C0005,公司6,363609,3,65,4.183100481,195,0.657033027,1,16,157,8.167970711,61,0.287291786,4,68,6.320894001,30.70240223,66,11.17937371,60,86.5905384,1,6.382632848,,45,21,0.16798388,0,43.41038927,10.3203243,11.35973637,2,1,84,17.30245281,1,3,7,11,3,31,41.24379255,  ,  ,  ,  
5,C0006,公司11,1221025,12,47,24.15122161,169,0.028374108,1,2,15,33.56664123,71,0.077667973,1,65,12.43713934,22.24348964,22,25.68298745,20,75.38250323,15,7.887574612,,10,35,4.762600117,0,84.10261014,4.312339355,22.67108204,2,1,22,3.497277911,1,6,4,8,8,39,20.60889372,  ,  ,  ,  
6,C0007,公司8,646416,3,5,31.78879459,197,0.377017529,1,14,68,23.7412254,30,0.591130365,12,43,9.768705101,21.77055321,18,16.97032606,46,74.56778327,18,0.588412892,,26,64,6.343475097,0,86.63353728,-999999999,87.05660907,3,1,15,7.389984923,1,5,5,8,25,5,17.72490548,  ,  ,  ,  
7,C0008,公司5,252004,1,16,17.51697966,71,0.83593208,1,15,47,4.059000264,26,0.790334817,11,17,1.553731228,11.25924232,11,24.36827641,48,31.18370717,15,1.646438161,,50,7,2.69058674,0,0.267453017,5.660619723,53.58558431,3,1,50,9.142270674,1,4,6,1,38,65,85.36119548,  ,  ,  ,  
8,C0009,公司16,2585664,11,26,23.46006692,35,0.280642452,1,10,19,30.19380346,8,,10,10,11.49802761,14.35558716,50,7.457962818,29,16.18593481,1,14.94968776,,44,1,2.131049816,0,82.23102763,16.35635496,45.37577975,1,1,69,6.072418405,1,1,4,6,65,51,21.23074602,  ,  ,  ,  
9,C0010,公司18,3272481,10,53,21.16738695,58,0.152945621,1,6,180,23.29883386,5,0.771189647,3,19,,30.27442733,82,8.047446064,74,23.95442623,14,0.349389137,,71,58,7.424390044,0,70.54004706,12.70080817,40.01947809,1,1,13,10.769213,1,8,4,8,57,57,46.76803892,J0039,  ,  ,  
10,C0011,公司5,252004,12,40,0.733543893,157,0.064748952,1,6,5,30.78067199,13,0.786808961,2,68,14.49089983,30.32381947,51,25.5125152,86,27.94395254,4,18.3883107,,92,15,5.87441556,0,22.1486252,7.662895788,41.48726716,4,1,84,18.65722846,1,8,6,6,7,3,27.30216574,  ,  ,  ,  
11,C0012,公司5,252004,5,34,12.47887009,171,0.379154182,1,2,75,12.88119751,4,0.255069871,11,36,15.4675271,18.83534224,96,8.227630745,12,60.35430281,16,19.06940045,,63,6,13.80745727,0,68.23645156,13.21084628,22.50904821,2,1,26,11.3858992,1,9,7,5,84,32,6.069758197,  ,  ,  ,  
12,C0013,公司13,1705636,7,4,27.27744438,173,0.414218259,1,15,145,25.6968371,23,0.653037166,10,39,11.85967232,30.7666568,88,21.6058733,26,67.30216065,1,19.31293143,,11,51,16.03440532,0,32.67668948,,86.80762496,3,1,26,12.20167659,1,7,4,8,38,28,16.18160608,  ,  ,  ,  
13,C0014,公司8,646416,1,69,2.342235233,198,0.477224481,1,3,133,15.26504959,9,0.500638845,7,18,5.708863894,14.93631987,51,5.505074075,49,40.8682099,13,7.546251091,,21,12,-999999999,0,11.15207607,10.98793748,20.25887417,4,1,74,17.58567932,1,4,5,7,67,19,17.97739594,J0021,  ,  ,  
14,C0015,公司15,2271049,7,63,15.23354019,96,0.887550339,1,16,183,24.84082772,62,0.304728333,7,41,15.02771208,5.989205419,50,14.46200024,66,10.30387834,13,1.34758649,28.06997875,90,26,12.32438025,0,,13.71708671,58.40228476,5,1,74,19.33290314,1,8,4,10,9,15,87.76961316,  ,  ,  ,  
15,C0016,公司10,1010025,8,53,9.89200091,157,0.46674766,1,13,191,10.31874637,23,0.229382604,5,12,16.26991251,18.47892743,,1.976515997,92,59.35819763,5,11.77278463,,74,19,16.88861022,0,27.74342968,8.511138735,49.42111738,2,999999999,66,11.70652627,,12,2,4,77,30,22.07125535,J0057,  ,  ,  
16,C0017,公司1,10000,3,69,0.829395281,190,0.172992033,1,7,146,32.36202902,33,0.81519098,6,12,5.638822628,12.48056506,23,7.202426738,65,61.17756594,16,19.5210646,,43,1,11.43332496,0,81.05106087,19.96622045,41.27209476,2,1,3,0.806998876,1,8,4,3,9,44,3.124355579,J0016,  ,  ,  
17,C0018,公司12,1454436,3,14,10.97251251,65,0.5034099,1,11,36,25.8818783,52,0.903547907,3,23,15.7434601,5.371992106,89,22.93019461,85,46.2662983,2,9.235433642,,7,40,0.967194699,0,33.73336459,2.555319689,12.81120286,1,1,95,11.74200178,1,10,6,1,60,73,1.152632136,J0145,J0019,  ,  
18,C0019,公司2,40401,7,19,11.4760273,32,0.165366505,1,18,46,,20,0.159860339,8,33,2.450178009,12.800376,60,9.58021877,21,47.50121215,15,12.42009353,,34,50,0.524290179,0,1.971125167,12.10632019,70.64013602,5,1,41,11.19410128,1,2,7,9,17,60,66.48564352,  ,  ,  ,  
19,C0020,公司13,1705636,8,66,13.17303218,4,0.408151147,1,6,33,13.63948795,9,0.244608491,8,5,17.79434495,33.97467162,86,17.89073633,44,21.26733055,1,10.83910113,,71,40,18.6371099,0,28.84940868,2.15955894,27.02509456,4,1,69,18.58531936,1,6,7,7,5,95,54.81940719,  ,  ,  ,  
20,C0021,公司4,161604,3,13,32.08578323,20,,1,4,162,8.180859912,63,0.366834109,10,23,10.17705626,22.42818017,32,12.09879281,47,68.20954659,12,9.53049971,,60,66,5.784211381,,36.08650564,17.07122831,55.42454428,5,1,48,15.87460609,1,6,2,5,49,24,84.78221237,J0009,  ,  ,  
21,C0022,公司5,252004,999999999,47,18.78961215,170,0.220943388,1,14,128,10.09063023,58,0.993187728,10,70,1.687636828,7.774850767,,25.71160589,51,11.06144532,7,19.96600605,,5,53,2.615326198,0,10.93454487,6.198931652,57.6572683,2,1,66,9.937615277,1,10,5,12,33,40,13.642536,  ,  ,  ,  
22,C0023,公司14,1979649,11,37,15.72279551,196,0.610766133,,,54,16.62921561,1,0.409468575,12,21,19.07971411,0.860547006,93,27.79485274,20,5.47052448,3,1.542208644,,48,35,4.815122347,0,91.58374538,0.943268813,5.289749358,5,1,96,13.64062971,1,5,4,9,28,83,24.17324482,  ,  ,  ,  
23,C0024,公司4,161604,3,42,12.79819885,118,0.696012902,1,3,107,3.057566597,60,0.399691796,9,8,15.46615295,12.66357805,63,20.14425754,94,28.89945194,5,17.01543217,,5,45,10.81312542,0,58.99217013,19.43105477,4.500067114,3,1,43,15.68692148,1,1,2,8,35,82,42.06583342,  ,  ,  ,  
24,C0025,公司2,40401,3,53,,123,0.064322673,1,12,153,2.332131418,64,0.120370841,3,66,12.34293928,32.73534786,63,16.5072636,5,61.95747527,10,13.87054256,,72,11,10.68667425,0,29.80871864,6.118157386,36.11067297,5,1,69,11.85187453,1,3,3,8,3,38,22.61349412,  ,  ,  ,  
